STATION,NAME,DATE,DAPR,MDPR,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00280907,"BOONTON 1 SE, NJ US",6/1/19,,,0,,0,0,,26.1,13.9,16.1
USC00280907,"BOONTON 1 SE, NJ US",6/2/19,,,0,,0,0,,26.7,15.6,18.9
USC00280907,"BOONTON 1 SE, NJ US",6/3/19,,,0,,0,0,,27.2,12.8,13.3
USC00280907,"BOONTON 1 SE, NJ US",6/4/19,,,0,,0,0,,21.1,6.7,8.3
USC00280907,"BOONTON 1 SE, NJ US",6/5/19,,,0,,0,0,,22.2,8.3,16.1
USC00280907,"BOONTON 1 SE, NJ US",6/6/19,,,0,,0,0,,27.8,16.1,20.6
USC00280907,"BOONTON 1 SE, NJ US",6/7/19,,,0,,0,0,,28.3,15,16.1
USC00280907,"BOONTON 1 SE, NJ US",6/8/19,,,0,,0,0,,27.2,14.4,18.3
USC00280907,"BOONTON 1 SE, NJ US",6/9/19,,,0,,0,0,,27.8,10,11.7
USC00280907,"BOONTON 1 SE, NJ US",6/10/19,,,0,,0,0,,26.1,11.7,14.4
USC00280907,"BOONTON 1 SE, NJ US",6/11/19,,,45.5,,0,0,,21.1,13.9,17.8
USC00280907,"BOONTON 1 SE, NJ US",6/12/19,,,0.5,,0,0,,24.4,9.4,11.1
USC00280907,"BOONTON 1 SE, NJ US",6/13/19,,,0,,0,0,,23.9,11.1,15
USC00280907,"BOONTON 1 SE, NJ US",6/14/19,,,21.3,,0,0,,19.4,12.8,14.4
USC00280907,"BOONTON 1 SE, NJ US",6/15/19,,,0,,0,0,,22.8,10.6,15
USC00280907,"BOONTON 1 SE, NJ US",6/16/19,,,2,,0,0,,26.7,15,18.3
USC00280907,"BOONTON 1 SE, NJ US",6/17/19,,,0.5,,0,0,,25.6,18.3,18.9
USC00280907,"BOONTON 1 SE, NJ US",6/18/19,,,2.3,,0,0,,24.4,18.9,20
USC00280907,"BOONTON 1 SE, NJ US",6/19/19,,,19.6,,0,0,,23.3,18.9,18.9
USC00280907,"BOONTON 1 SE, NJ US",6/20/19,,,2,,0,0,,21.1,18.3,18.3
USC00280907,"BOONTON 1 SE, NJ US",6/21/19,,,18.8,,0,0,,25.6,18.3,20
USC00280907,"BOONTON 1 SE, NJ US",6/22/19,,,10.9,,0,0,,25,16.1,16.7
USC00280907,"BOONTON 1 SE, NJ US",6/23/19,,,0,,0,0,,26.1,14.4,17.8
USC00280907,"BOONTON 1 SE, NJ US",6/24/19,,,0,,0,0,,28.9,15,16.7
USC00280907,"BOONTON 1 SE, NJ US",6/25/19,,,29.7,,0,0,,28.9,16.7,20.6
USC00280907,"BOONTON 1 SE, NJ US",6/26/19,,,2.3,,0,0,,29.4,17.8,19.4
USC00280907,"BOONTON 1 SE, NJ US",6/27/19,,,0,,0,0,,31.1,18.9,21.7
USC00280907,"BOONTON 1 SE, NJ US",6/28/19,,,0,,0,0,,31.7,17.2,18.3
USC00280907,"BOONTON 1 SE, NJ US",6/29/19,,,0,,0,0,,32.2,18.3,21.1
USC00280907,"BOONTON 1 SE, NJ US",6/30/19,,,6.6,,0,0,,32.8,21.1,21.7
USC00280907,"BOONTON 1 SE, NJ US",7/1/19,,,0,,0,0,,28.9,16.7,17.2
USC00280907,"BOONTON 1 SE, NJ US",7/2/19,,,0,,0,0,,29.4,17.2,17.8
USC00280907,"BOONTON 1 SE, NJ US",7/3/19,,,0.5,,0,0,,30.6,17.8,22.8
USC00280907,"BOONTON 1 SE, NJ US",7/4/19,,,0.5,,0,0,,30,19.4,25
USC00280907,"BOONTON 1 SE, NJ US",7/5/19,,,0,,0,0,,33.3,20,22.2
USC00280907,"BOONTON 1 SE, NJ US",7/6/19,,,0,,0,0,,30,22.2,23.3
USC00280907,"BOONTON 1 SE, NJ US",7/7/19,,,7.6,,0,0,,32.2,22.2,23.3
USC00280907,"BOONTON 1 SE, NJ US",7/8/19,,,4.8,,0,0,,30.6,19.4,19.4
USC00280907,"BOONTON 1 SE, NJ US",7/9/19,,,3.6,,0,0,,25,17.8,19.4
USC00280907,"BOONTON 1 SE, NJ US",7/10/19,,,0,,0,0,,30.6,17.8,17.8
USC00280907,"BOONTON 1 SE, NJ US",7/11/19,,,0,,0,0,,31.1,17.8,22.2
USC00280907,"BOONTON 1 SE, NJ US",7/12/19,,,73.9,,0,0,,29.4,20.6,21.7
USC00280907,"BOONTON 1 SE, NJ US",7/13/19,,,0,,0,0,,30,18.9,21.7
USC00280907,"BOONTON 1 SE, NJ US",7/14/19,,,0,,0,0,,29.4,19.4,23.9
USC00280907,"BOONTON 1 SE, NJ US",7/15/19,,,0,,0,0,,31.1,17.2,17.8
USC00280907,"BOONTON 1 SE, NJ US",7/16/19,,,0,,0,0,,30,16.7,19.4
USC00280907,"BOONTON 1 SE, NJ US",7/17/19,,,0,,0,0,,32.2,19.4,23.3
USC00280907,"BOONTON 1 SE, NJ US",7/18/19,,,24.6,,0,0,,33.3,22.2,23.3
USC00280907,"BOONTON 1 SE, NJ US",7/19/19,,,2.8,,0,0,,25.6,21.7,21.7
